Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 14 May 2016 (W19),Flamengo RJ (1),1-0,?,Sport Recife (1)
?,(Sat) 14 May 2016 (W19),Palmeiras SP (1),4-0,?,Atlético PR (1)
?,(Sat) 14 May 2016 (W19),Atlético MG (1),1-0,?,Santos SP (1)
?,(Sun) 15 May 2016 (W19),Coritiba PR (1),1-0,?,Cruzeiro MG (1)
?,(Sun) 15 May 2016 (W19),Botafogo RJ (1),0-1,?,São Paulo FC (1)
?,(Sun) 15 May 2016 (W19),Santa Cruz (1),4-1,?,EC Vitória (1)
?,(Sun) 15 May 2016 (W19),América MG (1),0-1,?,Fluminense RJ (1)
?,(Sun) 15 May 2016 (W19),Corinthians SP (1),0-0,?,Grêmio RS (1)
?,(Sun) 15 May 2016 (W19),Figueirense (1),0-0,?,Ponte Preta (1)
?,(Sun) 15 May 2016 (W19),Internacional Porto Alegre (1),0-0,?,Chapecoense (1)
?,(Sat) 21 May 2016 (W20),Ponte Preta (2),2-1,?,Palmeiras SP (2)
?,(Sat) 21 May 2016 (W20),Fluminense RJ (2),2-2,?,Santa Cruz (2)
?,(Sun) 22 May 2016 (W20),Cruzeiro MG (2),2-2,?,Figueirense (2)
?,(Sun) 22 May 2016 (W20),Atlético PR (2),1-1,?,Atlético MG (2)
?,(Sun) 22 May 2016 (W20),Santos SP (2),2-1,?,Coritiba PR (2)
?,(Sun) 22 May 2016 (W20),Chapecoense (2),3-1,?,América MG (2)
?,(Sun) 22 May 2016 (W20),Grêmio RS (2),1-0,?,Flamengo RJ (2)
?,(Sun) 22 May 2016 (W20),São Paulo FC (2),1-2,?,Internacional Porto Alegre (2)
?,(Sun) 22 May 2016 (W20),EC Vitória (2),3-2,?,Corinthians SP (2)
?,(Sun) 22 May 2016 (W20),Sport Recife (2),1-1,?,Botafogo RJ (2)
?,(Wed) 25 May 2016 (W21),Botafogo RJ (3),2-1,?,Atlético PR (3)
?,(Wed) 25 May 2016 (W21),Figueirense (3),2-2,?,Santos SP (3)
?,(Thu) 26 May 2016 (W21),América MG (3),1-1,?,EC Vitória (3)
?,(Thu) 26 May 2016 (W21),Flamengo RJ (3),2-2,?,Chapecoense (3)
?,(Thu) 26 May 2016 (W21),Coritiba PR (3),1-1,?,São Paulo FC (3)
?,(Thu) 26 May 2016 (W21),Palmeiras SP (3),2-0,?,Fluminense RJ (3)
?,(Thu) 26 May 2016 (W21),Santa Cruz (3),4-1,?,Cruzeiro MG (3)
?,(Thu) 26 May 2016 (W21),Corinthians SP (3),3-0,?,Ponte Preta (3)
?,(Thu) 26 May 2016 (W21),Internacional Porto Alegre (3),1-0,?,Sport Recife (3)
?,(Fri) 27 May 2016 (W21),Atlético MG (3),0-3,?,Grêmio RS (3)
?,(Sat) 28 May 2016 (W21),Cruzeiro MG (4),1-1,?,América MG (4)
?,(Sat) 28 May 2016 (W21),Atlético PR (4),2-1,?,Figueirense (4)
?,(Sun) 29 May 2016 (W21),Chapecoense (4),1-1,?,Santa Cruz (4)
?,(Sun) 29 May 2016 (W21),Ponte Preta (4),1-2,?,Flamengo RJ (4)
?,(Sun) 29 May 2016 (W21),Sport Recife (4),0-2,?,Corinthians SP (4)
?,(Sun) 29 May 2016 (W21),Fluminense RJ (4),1-0,?,Botafogo RJ (4)
?,(Sun) 29 May 2016 (W21),São Paulo FC (4),1-0,?,Palmeiras SP (4)
?,(Sun) 29 May 2016 (W21),EC Vitória (4),1-1,?,Atlético MG (4)
?,(Sun) 29 May 2016 (W21),Grêmio RS (4),2-0,?,Coritiba PR (4)
?,(Sun) 29 May 2016 (W21),Santos SP (4),0-1,?,Internacional Porto Alegre (4)
?,(Wed) 1 Jun 2016 (W22),Internacional Porto Alegre (5),1-0,?,Atlético PR (5)
?,(Thu) 2 Jun 2016 (W22),Corinthians SP (5),1-0,?,Santos SP (5)
